Week,Date,Time,Away Team,Away,Home Team,Home,Away Score,Home Score,Qtr,Clock,Situation,Pos,Score,Total Points,O/U,Odds,Broadcast
Week 1,Thu 09/05/2024,8:40 PM,Ravens,BAL,Chiefs,KC,20,27,F,0:00,game over,,BAL 20 KC 27 (F),47,46.5,KC -3,NBC
Week 1,Fri 09/06/2024,8:15 PM,Packers,GB,Eagles,PHI,29,34,F,0:00,game over,,GB 29 PHI 34 (F),63,49.5,PHI -2,Peacock
Week 1,Sun 09/08/2024,1:00 PM,Steelers,PIT,Falcons,ATL,18,10,F,0:00,game over,,PIT 18 ATL 10 (F),28,42.5,ATL -4,FOX
Week 1,Sun 09/08/2024,1:00 PM,Cardinals,ARI,Bills,BUF,28,34,F,0:00,game over,,ARI 28 BUF 34 (F),62,45.5,BUF -6.5,CBS
Week 1,Sun 09/08/2024,1:00 PM,Titans,TEN,Bears,CHI,17,24,F,0:00,game over,,TEN 17 CHI 24 (F),41,42.5,CHI -4,FOX
Week 1,Sun 09/08/2024,1:00 PM,Patriots,NE,Bengals,CIN,16,10,F,0:00,game over,,NE 16 CIN 10 (F),26,40.5,CIN -7.5,CBS
Week 1,Sun 09/08/2024,1:00 PM,Texans,HOU,Colts,IND,29,27,F,0:00,game over,,HOU 29 IND 27 (F),56,47.5,HOU -3,CBS
Week 1,Sun 09/08/2024,1:00 PM,Jaguars,JAX,Dolphins,MIA,17,20,F,0:00,game over,,JAX 17 MIA 20 (F),37,49.5,MIA -3.5,CBS
Week 1,Sun 09/08/2024,1:00 PM,Panthers,CAR,Saints,NO,10,47,F,0:00,game over,,CAR 10 NO 47 (F),57,41.5,NO -3.5,FOX
Week 1,Sun 09/08/2024,1:00 PM,Vikings,MIN,Giants,NYG,28,6,F,0:00,game over,,MIN 28 NYG 6 (F),34,41.5,MIN -1,FOX
Week 1,Sun 09/08/2024,4:05 PM,Raiders,LV,Chargers,LAC,10,22,F,0:00,game over,,LV 10 LAC 22 (F),32,40.5,LAC -3,CBS
Week 1,Sun 09/08/2024,4:05 PM,Broncos,DEN,Seahawks,SEA,20,26,F,0:00,game over,,DEN 20 SEA 26 (F),46,41.5,SEA -6.5,CBS
Week 1,Sun 09/08/2024,4:25 PM,Cowboys,DAL,Browns,CLE,33,17,F,0:00,game over,,DAL 33 CLE 17 (F),50,41.5,CLE -2,FOX
Week 1,Sun 09/08/2024,4:25 PM,Commanders,WSH,Buccaneers,TB,20,37,F,0:00,game over,,WSH 20 TB 37 (F),57,41.5,TB -3.5,FOX
Week 1,Sun 09/08/2024,8:20 PM,Rams,LAR,Lions,DET,20,26,F,0:00,game over,,LAR 20 DET 26 (F),46,54.5,DET -5,NBC
Week 1,Mon 09/09/2024,8:15 PM,Jets,NYJ,49ers,SF,19,32,F,0:00,game over,,NYJ 19 SF 32 (F),51,43.5,SF -3.5,ESPN
Week 2,Thu 09/12/2024,8:15 PM,Bills,BUF,Dolphins,MIA,31,10,F,0:00,game over,,BUF 31 MIA 10 (F),41,49.5,MIA -2.5,Prime Video
Week 2,Sun 09/15/2024,1:00 PM,Saints,NO,Cowboys,DAL,44,19,F,0:00,game over,,NO 44 DAL 19 (F),63,46.5,DAL -6.5,FOX
Week 2,Sun 09/15/2024,1:00 PM,Buccaneers,TB,Lions,DET,20,16,F,0:00,game over,,TB 20 DET 16 (F),36,51.5,DET -8,FOX
Week 2,Sun 09/15/2024,1:00 PM,Colts,IND,Packers,GB,10,16,F,0:00,game over,,IND 10 GB 16 (F),26,41.5,IND -2.5,FOX
Week 2,Sun 09/15/2024,1:00 PM,Jets,NYJ,Titans,TEN,24,17,F,0:00,game over,,NYJ 24 TEN 17 (F),41,40.5,NYJ -4,CBS
Week 2,Sun 09/15/2024,1:00 PM,49ers,SF,Vikings,MIN,17,23,F,0:00,game over,,SF 17 MIN 23 (F),40,46.5,SF -4.5,CBS
